# lambda flux err tem
# angstroms ergs^-1cm^-2a^-1 ergs^-1cm^-2a^-1 none
5253.997 0.724 1.809 64.293
5255.207 -0.997 1.787 63.996
5256.417 1.985 1.815 64.224
5257.627 1.877 1.835 65.727
5258.839 3.442 1.917 65.802
5260.049 6.304 1.941 66.603
5261.261 3.559 1.916 67.418
5262.472 4.361 1.919 66.732
5263.684 1.064 1.854 65.384
5264.896 -0.002 1.798 63.984
5266.108 -0.862 1.763 61.436
5267.321 -2.982 1.707 59.843
5268.534 3.633 1.744 58.586
5269.748 -2.421 1.676 58.095
5270.960 -1.115 1.695 59.274
5272.175 -1.306 1.690 59.326
5273.389 0.305 1.731 59.299
5274.603 0.834 1.759 61.754
5275.818 0.379 1.769 62.921
5277.033 1.088 1.791 63.382
5278.248 3.008 1.870 64.910
5279.463 3.174 1.901 66.063
5280.679 2.699 1.883 66.721
5281.896 3.782 1.887 66.334
5283.112 1.101 1.873 66.900
5284.329 -0.468 1.864 67.053
5285.545 -1.773 1.807 65.972
5286.763 1.154 1.836 65.807
5287.980 3.309 1.886 67.833
5289.198 2.445 1.913 69.136
5290.416 3.148 1.927 68.609
5291.634 3.822 1.931 68.848
5292.853 5.029 1.942 69.034
5294.072 2.596 1.929 69.429
5295.291 4.992 1.939 67.494
5296.510 2.540 1.922 67.902
5297.730 4.077 1.896 66.245
5298.950 3.974 1.871 64.940
5300.170 0.901 1.833 65.807
5301.391 -0.407 1.802 65.323
5302.611 -1.078 1.814 66.451
5303.833 5.145 1.905 65.649
5305.054 3.473 1.934 66.773
5306.276 1.024 1.921 68.515
5307.498 1.247 1.933 70.026
5308.720 7.255 1.992 70.510
5309.942 0.752 1.931 71.838
5311.166 3.764 1.951 71.605
5312.388 3.865 1.942 71.152
5313.612 1.315 1.920 71.257
5314.835 4.604 1.949 69.942
5316.059 2.655 1.957 70.331
5317.283 2.828 1.936 68.534
5318.508 -1.319 1.867 69.516
5319.733 -1.143 1.869 70.357
5320.958 0.462 1.879 69.201
5322.183 -1.037 1.877 67.906
5323.409 1.765 1.920 67.770
5324.634 1.771 1.923 68.511
5325.861 -1.009 1.881 67.796
5327.087 -0.489 1.859 67.049
5328.314 -4.232 1.787 64.185
5329.541 -2.789 1.754 63.087
5330.769 -2.599 1.740 62.864
5331.996 -0.235 1.765 63.782
5333.224 -0.857 1.764 63.878
5334.452 0.725 1.799 64.632
5335.680 0.963 1.857 66.948
5336.909 4.745 1.941 67.542
5338.138 5.193 1.997 67.756
5339.368 0.892 1.979 68.821
5340.597 0.442 1.949 68.585
5341.827 -0.842 1.879 67.805
5343.057 0.591 1.858 66.956
5344.288 1.880 1.896 67.249
5345.518 -0.220 1.919 66.979
5346.749 -0.925 1.894 66.948
5347.980 2.196 1.885 67.510
5349.212 1.170 1.877 67.643
5350.444 -1.046 2.380 67.645
5351.676 23.226 5.077 68.206
5352.909 8.941 10.935 67.677
5354.141 -8.754 8.829 68.394
5355.374 -8.656 7.061 70.449
5356.607 1.754 4.247 70.326
5357.840 0.158 2.729 70.662
5359.075 3.259 2.089 70.507
5360.309 1.205 1.948 71.906
5361.543 1.089 1.984 72.582
5362.778 -0.116 1.947 70.778
5364.013 1.017 1.923 70.494
5365.248 1.774 1.919 70.059
5366.484 0.248 1.881 69.559
5367.719 -0.461 1.876 68.715
5368.956 -0.805 1.859 67.941
5370.192 -0.543 1.884 67.679
5371.429 -1.944 1.848 66.456
5372.666 -1.278 1.850 66.228
5373.903 -0.397 1.845 65.345
5375.141 -1.025 1.855 66.691
5376.378 -2.137 1.875 68.384
5377.616 0.302 1.906 68.762
5378.854 1.172 1.909 68.310
5380.094 1.966 1.917 68.227
5381.332 -2.692 1.887 69.247
5382.572 0.775 1.899 68.826
5383.811 -0.842 1.897 69.136
5385.051 1.861 1.910 69.884
5386.291 -1.897 1.865 69.815
5387.531 -0.595 1.879 69.568
5388.772 -2.576 1.859 69.431
5390.013 2.165 1.888 68.691
5391.254 -0.242 1.858 68.926
5392.496 -3.684 1.823 69.632
5393.737 1.569 2.085 67.784
5394.979 -1.339 2.067 67.316
5396.222 -2.779 1.784 66.482
5397.465 -0.956 1.796 65.740
5398.708 0.438 1.810 65.699
5399.951 -1.206 1.802 66.181
5401.194 -3.036 1.807 65.989
5402.438 2.150 1.856 65.498
5403.683 -0.451 1.827 66.256
5404.927 -0.864 1.802 66.719
5406.172 -2.194 1.765 65.800
5407.417 -4.412 1.729 64.095
5408.661 -3.026 1.752 64.607
5409.907 -3.125 1.745 64.893
5411.153 -4.218 1.753 66.108
5412.399 -1.197 1.816 65.964
5413.646 -4.823 1.801 66.732
5414.892 -1.215 1.833 67.939
5416.139 0.331 1.875 68.049
5417.386 -1.684 1.874 69.304
5418.634 -0.033 1.875 69.556
5419.882 0.009 1.915 69.601
5421.129 -0.088 1.921 69.489
5422.378 -0.113 1.894 69.449
5423.627 -2.775 1.846 69.444
5424.876 -1.287 1.829 68.657
5426.125 -3.798 1.827 68.799
5427.375 2.072 1.891 69.747
5428.625 -1.444 2.160 69.276
5429.875 1.797 2.212 68.003
5431.125 1.114 1.829 66.436
5432.376 -3.479 1.803 68.135
5433.627 0.290 1.847 67.129
5434.878 -4.404 1.793 66.526
5436.130 -0.147 1.834 67.103
5437.381 -4.033 1.774 65.719
5438.634 -2.183 1.822 67.172
5439.886 -1.695 1.848 68.176
5441.139 0.642 1.891 68.762
5442.392 0.901 1.954 70.699
5443.645 1.070 1.959 69.757
5444.899 0.096 1.922 69.666
5446.153 -2.022 1.878 70.253
5447.407 0.763 1.879 68.905
5448.661 -2.118 1.850 68.139
5449.916 -1.872 1.860 68.197
5451.171 -1.925 1.868 67.382
5452.427 -0.679 1.881 67.081
5453.682 -2.312 1.852 67.263
5454.938 -2.648 1.864 68.325
5456.194 -6.164 1.837 68.830
5457.450 -2.442 1.882 66.589
5458.708 -2.574 1.918 67.339
5459.964 -0.572 1.954 67.208
5461.222 2.446 1.990 67.514
5462.479 -0.009 1.981 67.382
5463.737 1.756 1.975 66.594
5464.996 0.257 1.905 67.359
5466.253 -1.510 1.852 67.895
5467.513 0.276 1.872 67.247
5468.771 0.427 1.878 67.266
5470.031 -1.611 1.866 69.107
5471.291 -1.037 1.874 69.070
5472.550 0.279 1.883 67.977
5473.812 -2.833 1.867 68.090
5475.072 -1.552 1.873 67.558
5476.332 -1.030 1.853 67.378
5477.594 0.765 1.846 66.414
5478.855 -1.617 1.826 65.572
5480.117 0.475 1.836 66.584
5481.378 -1.143 1.829 66.610
5482.641 -0.186 1.826 65.275
5483.904 0.328 1.853 65.915
5485.167 -2.261 1.855 67.611
5486.429 -0.848 1.858 67.647
5487.693 -2.987 1.830 68.597
5488.957 -0.475 1.852 68.546
5490.221 -2.753 1.828 67.855
5491.485 -0.334 1.857 67.269
5492.750 -1.424 1.874 67.822
5494.015 -3.200 1.890 68.458
5495.280 4.043 1.979 68.379
5496.545 0.011 1.904 68.180
5497.811 -2.514 1.859 69.024
5499.077 -2.046 1.861 68.869
5500.343 -3.538 1.861 69.338
5501.610 -3.038 1.859 68.986
5502.877 -0.008 1.887 67.563
5504.144 -1.961 1.874 68.144
5505.412 -1.219 1.880 67.266
5506.680 -0.531 1.896 67.687
5507.948 -2.835 1.898 68.679
5509.216 -2.648 1.872 67.453
5510.485 -1.170 1.866 67.392
5511.753 -1.552 1.844 66.666
5513.023 0.828 1.865 66.877
5514.292 -4.392 1.828 66.916
5515.562 0.296 1.881 66.898
5516.833 -0.326 1.896 67.169
5518.103 -0.842 1.897 67.847
5519.374 -1.404 1.886 68.638
5520.645 4.019 1.959 68.994
5521.916 -0.562 1.914 69.924
5523.188 -2.211 1.908 69.974
5524.460 0.355 1.912 68.915
5525.731 -2.323 1.907 69.853
5527.005 -5.125 1.880 71.405
5528.277 0.201 1.938 69.619
5529.550 -1.829 1.927 68.382
5530.824 -0.405 1.892 68.335
5532.097 0.405 1.943 68.023
5533.371 0.136 1.899 68.542
5534.646 0.437 1.969 68.170
5535.920 -4.218 1.950 69.765
5537.195 -2.476 1.961 70.135
5538.470 -1.844 1.981 69.798
5539.745 -2.203 1.953 69.738
5541.021 -1.217 1.956 69.357
5542.297 -1.429 1.955 70.276
5543.574 -1.207 1.996 70.568
5544.850 -0.892 1.998 70.654
5546.127 4.187 2.001 69.733
5547.404 -0.151 1.953 70.168
5548.682 -1.523 1.948 70.653
5549.960 0.834 1.990 69.627
5551.237 0.415 1.964 69.681
5552.516 0.323 1.939 71.292
5553.794 0.572 1.975 71.624
5555.073 -0.506 1.964 70.426
5556.353 -1.873 2.007 70.421
5557.632 -1.293 2.050 70.957
5558.912 0.607 2.092 69.485
5560.193 2.797 2.090 69.446
5561.473 -3.505 1.984 71.141
5562.753 -2.521 1.972 70.535
5564.035 -2.500 1.944 69.814
5565.316 2.381 1.978 69.124
5566.597 0.409 1.930 68.552
5567.879 -2.704 1.868 68.003
5569.161 -2.022 1.899 68.401
5570.444 -0.274 1.924 68.684
5571.727 0.116 1.923 67.890
5573.010 1.354 1.937 68.109
5574.293 -1.917 1.916 69.148
5575.577 0.376 1.921 68.974
5576.861 1.225 1.922 69.008
5578.145 -0.255 1.926 71.249
5579.430 1.952 1.957 69.826
5580.714 1.411 1.976 69.754
5582.000 -1.277 1.945 70.527
5583.285 -1.568 1.883 69.672
5584.571 -1.923 1.899 69.852
5585.857 -2.461 1.892 69.318
5587.143 -1.771 1.891 67.630
5588.430 -2.462 1.863 67.338
5589.717 -3.822 1.812 66.036
5591.004 -2.603 1.790 64.927
5592.292 -1.136 1.781 65.531
5593.579 -2.538 1.779 65.917
5594.868 -1.374 1.809 65.507
5596.156 0.863 1.867 66.257
5597.445 -0.418 1.871 67.522
5598.733 -1.277 1.885 67.970
5600.023 -0.746 1.876 69.171
5601.312 -0.723 1.860 67.483
5602.603 -0.800 1.826 67.083
5603.893 -1.472 1.806 67.658
5605.183 -2.851 1.791 67.547
5606.474 -1.988 1.813 67.418
5607.765 0.242 1.836 69.318
5609.057 1.133 1.860 70.340
5610.348 -0.292 1.819 70.196
5611.641 -2.240 1.819 70.479
5612.933 -1.872 1.836 70.950
5614.225 -0.329 1.869 71.007
5615.518 -2.911 1.834 69.003
5616.812 -1.296 1.859 69.334
5618.104 -1.456 1.840 68.876
5619.398 0.915 1.823 67.370
5620.692 -1.324 1.773 67.391
5621.987 -2.438 1.783 68.589
5623.281 -1.362 1.768 68.237
5624.576 -0.801 1.773 67.890
5625.872 -2.192 1.742 68.637
5627.167 -4.879 1.694 68.799
5628.463 -4.076 1.698 68.292
5629.759 -0.411 1.749 68.802
5631.055 -4.477 1.746 70.813
5632.353 -1.240 1.755 70.188
5633.649 0.030 1.747 69.965
5634.947 1.655 1.747 70.300
5636.245 -1.031 1.738 70.884
5637.542 -2.927 1.697 70.414
5638.841 -1.525 1.722 69.356
5640.139 -1.765 1.678 69.159
5641.438 -3.479 1.648 68.907
5642.737 -3.114 1.636 69.737
5644.037 -0.622 1.668 68.978
5645.336 -1.892 1.662 69.595
5646.636 -2.378 1.663 70.131
5647.937 -3.613 1.663 70.008
5649.238 -1.818 1.688 70.367
5650.538 -3.565 1.760 70.489
5651.839 -3.021 1.941 71.009
5653.141 -4.887 2.192 70.554
5654.443 -6.891 2.050 70.587
5655.745 -4.262 1.754 71.885
5657.047 -4.244 1.718 71.199
5658.350 -1.777 1.914 69.474
5659.653 -4.129 1.956 68.615
5660.957 -4.573 1.784 68.534
5662.260 -5.944 1.731 68.692
5663.564 -4.680 1.677 69.036
5664.868 -3.206 1.585 68.981
5666.173 -3.542 1.571 68.962
5667.478 -2.385 1.609 68.889
5668.782 -3.392 1.596 69.422
5670.088 -3.634 1.585 69.968
5671.394 0.079 1.577 69.179
5672.700 -4.266 1.555 70.174
5674.006 -2.189 1.575 70.247
5675.313 0.250 1.591 69.789
5676.620 -1.444 1.584 70.571
5677.927 -0.555 1.612 71.371
5679.234 -0.398 1.642 71.069
5680.542 -2.240 1.604 71.160
5681.851 -5.932 1.601 72.534
5683.159 -4.022 1.623 70.666
5684.468 -1.205 1.649 69.653
5685.777 -1.229 1.681 70.627
5687.086 -0.723 1.652 70.323
5688.396 -1.302 1.644 69.069
5689.706 -0.117 1.617 67.837
5691.016 -1.703 1.609 69.369
5692.327 -2.396 1.620 70.393
5693.637 0.021 1.647 70.304
5694.949 -0.342 1.643 70.260
5696.260 -0.303 1.648 70.380
5697.572 -0.300 1.662 71.461
5698.883 -1.586 1.632 71.823
5700.197 -3.971 1.582 71.174
5701.509 -4.460 1.551 70.507
5702.822 -1.578 1.562 70.007
5704.135 -0.631 1.571 69.683
5705.449 -4.270 1.640 68.047
5706.763 -2.906 1.674 68.975
5708.076 -2.134 1.646 67.890
5709.392 -5.276 1.608 67.833
5710.706 -0.586 1.641 67.404
5712.021 -1.560 1.644 66.859
5713.336 -3.198 1.649 67.138
5714.652 1.066 1.695 67.395
5715.969 -1.006 1.667 69.623
5717.284 -1.215 1.650 69.689
5718.601 2.277 1.624 70.384
5719.918 -0.101 1.610 70.822
5721.235 1.760 1.640 72.071
5722.553 6.784 1.690 72.366
5723.871 4.355 1.690 72.582
5725.189 2.137 1.644 73.211
5726.507 1.511 1.624 72.773
5727.825 -0.505 1.583 71.773
5729.145 -1.765 1.596 72.497
5730.464 0.752 1.631 71.607
5731.784 1.112 1.631 71.365
5733.104 0.510 1.612 71.534
5734.424 -0.539 1.597 71.568
5735.745 -1.501 1.625 71.696
5737.066 0.939 1.641 71.501
5738.387 -2.216 1.597 71.998
5739.708 2.442 1.604 71.186
5741.030 2.259 1.610 72.134
5742.352 1.535 1.588 71.976
5743.674 -0.800 1.598 72.351
5744.997 -0.279 1.598 72.658
5746.320 -0.738 1.613 73.092
5747.644 -3.308 1.574 72.480
5748.967 0.036 1.580 71.630
5750.291 -0.103 1.564 71.779
5751.615 -1.476 1.544 71.241
5752.939 1.817 1.584 69.783
5754.265 -2.543 1.578 71.051
5755.589 2.112 1.620 71.890
5756.915 -0.031 1.592 70.600
5758.241 -0.893 1.590 72.628
5759.567 0.950 1.618 72.918
5760.893 0.759 1.666 72.334
5762.220 0.866 1.619 71.031
5763.547 -0.969 1.571 70.641
5764.874 -2.570 1.559 71.821
5766.202 -1.117 1.559 71.058
5767.529 -1.583 1.563 72.986
5768.858 -1.154 1.572 73.624
5770.186 -1.827 1.582 72.737
5771.515 -1.279 1.601 73.208
5772.844 -0.037 1.605 73.087
5774.173 -1.357 1.577 72.945
5775.503 -0.890 1.578 73.077
5776.833 0.097 1.570 72.974
5778.163 -2.285 1.549 72.582
5779.494 -3.103 1.665 71.941
5780.825 -1.665 1.666 71.249
5782.156 -4.194 1.571 70.655
5783.488 -0.922 1.524 69.873
5784.819 -5.302 1.485 68.551
5786.151 -3.600 1.496 67.678
5787.484 -2.941 1.518 68.386
5788.817 -2.830 1.533 68.754
5790.150 -1.464 1.544 69.701
5791.483 -0.358 1.556 69.815
5792.817 0.073 1.571 70.748
5794.151 0.629 1.594 71.065
5795.485 -1.731 1.609 72.500
5796.819 0.102 1.635 72.273
5798.155 1.656 1.645 72.369
5799.490 0.189 1.611 71.613
5800.826 3.725 1.630 71.995
5802.162 -0.960 1.683 73.908
5803.498 0.219 1.719 73.159
5804.834 -0.010 1.675 72.896
5806.171 1.173 1.662 72.822
5807.508 -0.923 1.628 72.449
5808.845 -0.848 1.619 71.931
5810.183 1.732 1.643 71.940
5811.521 0.029 1.642 72.417
5812.859 -2.018 1.635 72.285
5814.198 -0.246 1.658 73.862
5815.537 -0.628 1.662 73.171
5816.876 1.343 1.670 71.937
5818.216 0.387 1.670 72.569
5819.556 4.490 1.679 71.515
5820.896 1.163 1.671 71.097
5822.236 2.254 1.690 71.976
5823.577 2.183 1.688 72.431
5824.918 -0.285 1.670 72.957
5826.259 -1.787 1.628 74.052
5827.601 -1.818 1.641 74.064
5828.943 -0.601 1.671 73.757
5830.286 1.942 1.705 73.570
5831.628 -2.053 1.649 73.631
5832.971 0.933 1.681 74.127
5834.314 1.874 1.680 72.852
5835.658 3.015 1.681 71.591
5837.002 2.957 1.697 72.058
5838.346 2.552 1.705 72.634
5839.690 2.458 1.694 72.825
5841.035 1.041 1.684 72.650
5842.380 1.461 1.690 73.007
5843.726 1.921 1.702 72.364
5845.071 -0.299 1.673 72.786
5846.417 1.504 1.704 73.500
5847.764 2.332 1.705 73.077
5849.110 0.720 1.667 72.033
5850.458 -0.238 1.642 72.693
5851.804 1.390 1.656 72.209
5853.152 2.418 1.679 70.778
5854.500 2.572 1.680 71.069
5855.848 0.417 1.650 70.869
5857.197 2.245 1.649 70.026
5858.546 4.694 1.663 69.235
5859.895 2.367 1.641 69.069
5861.244 0.495 1.619 69.541
5862.594 0.465 1.648 71.330
5863.944 1.285 1.635 70.616
5865.294 3.666 1.686 71.223
5866.646 1.916 1.674 71.467
5867.996 5.253 1.702 70.048
5869.347 2.918 1.696 71.521
5870.699 2.281 1.675 70.935
5872.051 4.038 1.695 71.112
5873.403 2.541 1.696 73.062
5874.755 5.344 1.723 71.974
5876.109 7.804 1.731 70.866
5877.461 5.415 1.736 72.445
5878.815 6.092 1.721 71.176
5880.169 6.278 1.739 71.291
5881.523 4.783 1.697 71.400
5882.877 2.377 1.677 70.280
5884.232 2.384 1.672 69.579
5885.587 2.650 1.681 69.062
5886.943 2.963 1.663 69.060
5888.299 -0.382 1.607 67.908
5889.655 0.340 1.577 66.189
5891.011 0.030 1.568 64.116
5892.367 0.818 1.579 62.940
5893.724 0.821 1.552 60.928
5895.082 -1.574 1.528 60.804
5896.439 -0.494 1.533 61.196
5897.797 1.874 1.561 61.155
5899.155 0.481 1.545 62.577
5900.514 0.106 1.551 63.315
5901.872 -0.725 1.642 64.950
5903.231 -0.599 1.645 66.555
5904.591 2.561 1.672 67.727
5905.951 1.134 1.686 69.139
5907.310 -0.814 1.694 71.136
5908.671 1.986 1.740 70.180
5910.031 3.129 1.716 68.927
5911.393 1.647 1.708 69.749
5912.754 3.713 1.744 69.539
5914.116 2.360 1.727 70.299
5915.478 -0.257 1.685 69.772
5916.840 2.134 1.696 69.462
5918.202 3.162 1.717 68.974
5919.565 1.860 1.714 69.796
5920.928 1.093 1.706 70.530
5922.292 2.870 1.724 69.487
5923.656 3.845 1.778 70.083
5925.020 0.952 1.742 70.453
5926.384 0.896 1.730 71.019
5927.749 -0.249 1.703 71.500
5929.114 1.710 1.725 71.218
5930.480 1.886 1.713 70.719
5931.845 -1.084 1.692 70.968
5933.211 -0.031 1.698 70.029
5934.577 0.926 1.738 70.383
5935.944 2.174 1.745 70.502
5937.312 0.511 1.713 70.429
5938.679 0.774 1.715 71.195
5940.046 1.689 1.726 71.061
5941.414 0.512 1.729 72.325
5942.782 2.200 1.735 71.314
5944.150 2.400 1.735 71.177
5945.519 -0.844 1.699 70.567
5946.889 0.597 1.719 71.029
5948.258 1.277 1.736 72.149
5949.628 3.681 1.742 70.391
5950.998 3.288 1.731 70.579
5952.368 1.128 1.712 70.599
5953.739 1.810 1.712 69.872
5955.110 -0.661 1.696 70.162
5956.482 0.384 1.696 70.451
5957.854 -0.518 1.688 70.279
5959.226 -1.442 1.708 71.052
5960.598 -2.347 1.681 71.609
5961.970 0.075 1.668 70.343
5963.343 -0.433 1.658 70.832
5964.717 -2.492 1.669 72.000
5966.090 -1.563 1.663 71.775
5967.464 -0.395 1.680 72.556
5968.838 -0.330 1.672 72.003
5970.213 -1.207 1.665 72.127
5971.588 0.240 1.682 72.786
5972.963 -0.550 1.670 72.565
5974.338 -1.074 1.670 71.957
5975.714 2.003 1.713 71.689
5977.090 -1.886 1.660 71.510
5978.467 -1.961 1.625 72.236
5979.843 -2.037 1.616 72.052
5981.221 1.689 1.633 70.045
5982.598 -0.433 1.635 70.158
5983.976 -0.289 1.676 70.561
5985.354 -1.602 1.668 70.838
5986.732 -3.262 1.632 70.567
5988.111 -1.106 1.621 70.285
5989.490 1.791 1.641 69.911
5990.869 0.242 1.616 70.187
5992.249 -1.784 1.596 70.886
5993.628 0.667 1.617 70.934
5995.009 -0.036 1.616 71.546
5996.389 0.938 1.624 71.239
5997.771 0.832 1.623 70.990
5999.151 -2.251 1.584 72.009
6000.533 -1.763 1.580 71.256
6001.915 -0.388 1.584 71.451
6003.297 -1.334 1.574 70.905
6004.679 -1.326 1.570 69.848
6006.062 0.147 1.592 70.174
6007.445 -0.994 1.598 70.359
6008.828 -1.014 1.579 69.677
6010.212 0.197 1.586 69.889
6011.596 -2.758 1.582 70.587
6012.980 1.483 1.610 70.078
6014.366 -0.421 1.593 70.978
6015.750 -1.455 1.579 70.996
6017.136 0.088 1.619 71.178
6018.521 -0.974 1.780 70.418
6019.907 -1.546 1.757 70.989
6021.293 0.086 1.561 69.685
6022.681 -0.470 1.547 69.016
6024.067 -1.710 1.539 70.206
6025.455 -2.187 1.534 70.403
6026.842 -2.065 1.536 70.193
6028.230 -1.045 1.543 70.244
6029.618 -0.732 1.557 71.224
6031.007 0.148 1.569 70.962
6032.396 -1.142 1.573 72.103
6033.784 1.118 1.596 71.643
6035.174 1.143 1.612 72.092
6036.564 -1.298 1.582 72.453
6037.955 -0.766 1.570 72.238
6039.345 -1.607 1.580 73.572
6040.736 -0.713 1.576 72.924
6042.126 -1.410 1.559 71.833
6043.518 -0.279 1.587 71.953
6044.910 -1.229 1.670 72.706
6046.302 -0.285 1.791 73.541
6047.694 -1.446 1.807 73.473
6049.087 -3.617 1.701 73.052
6050.480 0.533 1.627 73.089
6051.874 0.384 1.616 73.251
6053.267 -2.193 1.610 73.288
6054.661 -0.568 1.645 73.188
6056.055 -2.802 1.585 73.520
6057.449 0.306 1.570 72.387
6058.845 -0.016 1.564 71.627
6060.240 -0.556 1.576 72.270
6061.635 -2.153 1.551 72.340
6063.031 -1.484 1.544 71.798
6064.428 -0.198 1.550 71.675
6065.825 -1.032 1.554 71.866
6067.221 -1.965 1.552 71.544
6068.618 0.351 1.570 70.997
6070.016 1.340 1.600 71.560
6071.414 -0.173 1.599 72.848
6072.812 1.941 1.619 72.683
6074.210 0.959 1.631 73.516
6075.609 2.688 1.655 73.081
6077.008 -0.210 1.613 73.389
6078.408 0.624 1.599 72.986
6079.807 1.225 1.593 72.496
6081.207 -0.548 1.578 72.683
6082.608 2.986 1.587 70.793
6084.009 0.523 1.587 71.658
6085.410 3.926 1.616 71.024
6086.811 3.565 1.629 70.414
6088.212 4.713 1.645 70.742
6089.614 5.300 1.641 70.954
6091.017 2.071 1.623 71.057
6092.419 0.395 1.597 72.138
6093.823 -1.881 1.563 72.194
6095.226 -3.500 1.542 72.052
6096.629 -1.771 1.559 71.146
6098.034 4.750 1.654 70.889
6099.438 0.749 1.625 71.625
6100.842 0.066 1.588 70.523
6102.248 -1.045 1.574 70.536
6103.653 -2.049 1.555 70.476
6105.059 -0.646 1.560 69.757
6106.464 -0.535 1.594 69.652
6107.871 -1.509 1.633 70.955
6109.277 -1.656 1.642 70.987
6110.684 1.327 1.633 71.076
6112.091 0.584 1.654 71.458
6113.499 -2.819 1.630 71.563
6114.906 1.490 1.593 71.665
6116.314 -0.705 1.586 71.653
6117.724 -1.542 1.595 71.570
6119.132 -0.536 1.598 71.796
6120.542 -2.259 1.546 71.265
6121.950 -2.161 1.534 70.445
6123.361 0.412 1.558 69.989
6124.771 -1.912 1.539 70.230
6126.181 -1.828 1.525 69.987
6127.592 0.355 1.538 69.079
6129.003 -0.553 1.549 70.075
6130.414 -0.867 1.565 71.370
6131.826 -0.554 1.571 71.576
6133.238 0.810 1.563 70.309
6134.650 0.336 1.560 70.507
6136.063 -1.022 1.533 70.803
6137.476 -0.373 1.532 69.330
6138.890 -1.150 1.498 68.467
6140.303 0.702 1.518 68.066
6141.717 -2.293 1.502 68.076
6143.132 -0.981 1.547 69.636
6144.546 -0.269 1.566 70.465
6145.961 -0.334 1.545 69.822
6147.376 -1.169 1.530 71.127
6148.792 -0.971 1.542 70.781
6150.208 -1.620 1.533 71.452
6151.625 -1.982 1.522 70.996
6153.041 -1.581 1.515 71.101
6154.458 -1.746 1.528 72.123
6155.875 -1.911 1.516 70.793
6157.293 -1.899 1.508 69.988
6158.711 -0.290 1.519 69.677
6160.129 0.662 1.534 68.787
6161.548 0.544 1.508 67.592
6162.966 -2.905 1.448 66.891
6164.385 -2.712 1.430 65.627
6165.805 -2.741 1.426 65.043
6167.225 -0.885 1.429 64.524
6168.645 0.036 1.448 65.344
6170.065 1.330 1.480 66.007
6171.486 -1.438 1.447 66.371
6172.908 -1.965 1.443 67.367
6174.330 -0.625 1.458 67.576
6175.752 -2.703 1.530 68.067
6177.174 -2.144 1.498 68.528
6178.597 0.596 1.548 68.210
6180.019 -0.414 1.764 68.964
6181.442 -0.777 1.726 69.566
6182.866 -0.803 1.500 69.746
6184.290 -1.591 1.481 69.234
6185.714 0.453 1.514 69.954
6187.138 -1.888 1.475 68.945
6188.563 -0.117 1.494 69.305
6189.988 0.753 1.492 68.687
6191.414 -0.831 1.469 67.745
6192.839 -0.774 1.461 67.155
6194.265 -0.699 1.464 67.052
6195.692 0.063 1.487 67.204
6197.119 1.301 1.515 67.658
6198.546 -1.077 1.720 68.304
6199.974 -0.591 1.724 68.176
6201.401 -1.924 1.484 69.585
6202.829 -2.926 1.489 69.835
6204.257 -2.704 1.489 70.250
6205.686 -0.318 1.506 69.212
6207.115 1.033 1.523 69.148
6208.544 0.280 1.527 69.456
6209.974 -0.195 1.522 70.268
6211.404 -0.960 1.506 69.984
6212.835 -0.032 1.491 68.323
6214.265 1.031 1.495 68.287
6215.697 -1.330 1.482 68.089
6217.128 -0.615 1.492 67.806
6218.560 -1.331 1.451 66.635
6219.992 -1.265 1.441 66.471
6221.424 -0.722 1.455 66.169
6222.857 0.495 1.473 66.598
6224.290 -0.782 1.461 66.830
6225.723 0.567 1.468 66.449
6227.157 0.721 1.489 67.087
6228.591 -0.355 1.495 67.011
6230.025 -0.214 1.504 67.070
6231.460 -0.830 1.482 66.934
6232.895 -0.752 1.463 66.719
6234.330 1.504 1.482 66.219
6235.766 -1.048 1.510 67.378
6237.202 1.332 1.571 67.544
6238.639 -0.021 1.527 67.684
6240.075 2.321 1.539 67.923
6241.512 2.664 1.535 67.704
6242.950 -0.848 1.487 67.335
6244.387 -0.080 1.469 65.944
6245.825 -0.665 1.456 65.518
6247.264 -0.290 1.486 66.110
6248.702 0.195 1.481 66.467
6250.141 -2.073 1.461 66.382
6251.581 -3.068 1.454 66.966
6253.021 -1.202 1.460 66.367
6254.460 -0.970 1.433 65.294
6255.900 -2.979 1.416 65.704
6257.341 -2.391 1.424 65.839
6258.782 -0.037 1.463 65.051
6260.224 -1.654 1.434 64.507
6261.665 -3.402 1.440 65.617
6263.107 -0.042 1.474 66.162
6264.549 -1.193 1.477 66.953
6265.992 0.844 1.509 67.928
6267.435 -1.006 1.521 68.123
6268.877 1.263 1.550 67.638
6270.321 0.652 1.530 68.151
6271.765 -2.135 1.503 69.143
6273.210 -1.395 1.504 68.497
6274.654 -0.578 1.485 67.760
6276.099 -1.748 1.490 68.411
6277.544 0.269 1.523 69.362
6278.990 0.968 1.535 68.719
6280.436 -1.486 1.509 69.188
6281.882 -0.254 1.514 68.621
6283.329 -0.386 1.519 68.877
6284.776 -0.308 1.515 69.245
6286.224 -1.645 1.507 69.192
6287.671 -1.769 1.529 69.415
6289.119 -0.012 1.552 68.681
6290.567 -2.264 1.536 69.551
6292.016 -1.975 1.534 70.080
6293.464 1.207 1.548 69.199
6294.914 1.363 1.556 68.720
6296.364 0.713 1.532 68.383
6297.813 -0.589 1.516 69.144
6299.264 3.998 1.567 68.461
6300.714 5.882 1.584 67.694
6302.165 7.739 1.615 67.834
6303.617 8.720 1.629 68.670
6305.069 7.684 1.619 67.749
